Column1,Column2,Column3
,GenBank accession numbers,
Clone name,VH,VL
ADI-15731,KU602083,KU602084
ADI-15732,KU602085,KU602086
ADI-15733,KU602087,KU602088
ADI-15734,KU602089,KU602090
ADI-15735,KU602091,KU602092
ADI-15736,KU602093,KU602094
ADI-15737,KU602095,KU602096
ADI-15738,KU602097,KU602098
ADI-15739,KU602099,KU602100
ADI-15740,KU602101,KU602102
ADI-15741,KU602103,KU602104
ADI-15742,KU602105,KU602106
ADI-15743,KU602107,KU602108
ADI-15744,KU602109,KU602110
ADI-15745,KU602111,KU602112
ADI-15746,KU602113,KU602114
ADI-15747,KU602115,KU602116
ADI-15748,KU602117,KU602118
ADI-15749,KU602119,KU602120
ADI-15750,KU602121,KU602122
ADI-15751,KU602123,KU602124
ADI-15752,KU602125,KU602126
ADI-15753,KU602127,KU602128
ADI-15754,KU602129,KU602130
ADI-15755,KU602131,KU602132
ADI-15756,KU602133,KU602134
ADI-15757,KU602135,KU602136
ADI-15758,KU602137,KU602138
ADI-15759,KU602139,KU602140
ADI-15760,KU602141,KU602142
ADI-15761,KU602143,KU602144
ADI-15762,KU602145,KU602146
ADI-15763,KU602147,KU602148
ADI-15764,KU602149,KU602150
ADI-15765,KU602151,KU602152
ADI-15766,KU602153,KU602154
ADI-15767,KU602155,KU602156
ADI-15768,KU602157,KU602158
ADI-15769,KU602159,KU602160
ADI-15771,KU602161,KU602162
ADI-15772,KU602163,KU602164
ADI-15773,KU602165,KU602166
ADI-15774,KU602167,KU602168
ADI-15775,KU602169,KU602170
ADI-15777,KU602171,KU602172
ADI-15778,KU602173,KU602174
ADI-15779,KU602175,KU602176
ADI-15780,KU602177,KU602178
ADI-15781,KU602179,KU602180
ADI-15782,KU602181,KU602182
ADI-15783,KU602183,KU602184
ADI-15784,KU602185,KU602186
ADI-15785,KU602187,KU602188
ADI-15786,KU602189,KU602190
ADI-15787,KU602191,KU602192
ADI-15788,KU602193,KU602194
ADI-15789,KU602195,KU602196
ADI-15791,KU602197,KU602198
ADI-15792,KU602199,KU602200
ADI-15793,KU602201,KU602202
ADI-15794,KU602203,KU602204
ADI-15795,KU602205,KU602206
ADI-15796,KU602207,KU602208
ADI-15797,KU602209,KU602210
ADI-15798,KU602211,KU602212
ADI-15799,KU602213,KU602214
ADI-15800,KU602215,KU602216
ADI-15801,KU602217,KU602218
ADI-15802,KU602219,KU602220
ADI-15803,KU602221,KU602222
ADI-15804,KU602223,KU602224
ADI-15805,KU602225,KU602226
ADI-15806,KU602227,KU602228
ADI-15807,KU602229,KU602230
ADI-15808,KU602231,KU602232
ADI-15809,KU602233,KU602234
ADI-15810,KU602235,KU602236
ADI-15811,KU602237,KU602238
ADI-15812,KU602239,KU602240
ADI-15813,KU602241,KU602242
ADI-15814,KU602243,KU602244
ADI-15815,KU602245,KU602246
ADI-15816,KU602247,KU602248
ADI-15817,KU602249,KU602250
ADI-15818,KU602251,KU602252
ADI-15819,KU602253,KU602254
ADI-15820,KU602255,KU602256
ADI-15821,KU602257,KU602258
ADI-15822,KU602259,KU602260
ADI-15823,KU602261,KU602262
ADI-15824,KU602263,KU602264
ADI-15825,KU602265,KU602266
ADI-15826,KU602267,KU602268
ADI-15827,KU602269,KU602270
ADI-15828,KU602271,KU602272
ADI-15829,KU602273,KU602274
ADI-15830,KU602275,KU602276
ADI-15831,KU602277,KU602278
ADI-15832,KU602279,KU602280
ADI-15833,KU602281,KU602282
ADI-15834,KU602283,KU602284
ADI-15835,KU602285,KU602286
ADI-15836,KU602287,KU602288
ADI-15837,KU602289,KU602290
ADI-15839,KU602291,KU602292
ADI-15841,KU602293,KU602294
ADI-15842,KU602295,KU602296
ADI-15843,KU602297,KU602298
ADI-15844,KU602299,KU602300
ADI-15845,KU602301,KU602302
ADI-15846,KU602303,KU602304
ADI-15847,KU602305,KU602306
ADI-15848,KU602307,KU602308
ADI-15849,KU602309,KU602310
ADI-15850,KU602311,KU602312
ADI-15851,KU602313,KU602314
ADI-15852,KU602315,KU602316
ADI-15853,KU602317,KU602318
ADI-15854,KU602319,KU602320
ADI-15855,KU602321,KU602322
ADI-15856,KU602323,KU602324
ADI-15858,KU602325,KU602326
ADI-15859,KU602327,KU602328
ADI-15860,KU602329,KU602330
ADI-15861,KU602331,KU602332
ADI-15862,KU602333,KU602334
ADI-15863,KU602335,KU602336
ADI-15864,KU602337,KU602338
ADI-15865,KU602339,KU602340
ADI-15866,KU602341,KU602342
ADI-15867,KU602343,KU602344
ADI-15868,KU602345,KU602346
ADI-15869,KU602347,KU602348
ADI-15870,KU602349,KU602350
ADI-15871,KU602351,KU602352
ADI-15872,KU602353,KU602354
ADI-15873,KU602355,KU602356
ADI-15874,KU602357,KU602358
ADI-15875,KU602359,KU602360
ADI-15876,KU602361,KU602362
ADI-15877,KU602363,KU602364
ADI-15878,KU602365,KU602366
ADI-15879,KU602367,KU602368
ADI-15880,KU602369,KU602370
ADI-15881,KU602371,KU602372
ADI-15882,KU602373,KU602374
ADI-15883,KU602375,KU602376
ADI-15884,KU602377,KU602378
ADI-15885,KU602379,KU602380
ADI-15886,KU602381,KU602382
ADI-15887,KU602383,KU602384
ADI-15888,KU602385,KU602386
ADI-15889,KU602387,KU602388
ADI-15890,KU602389,KU602390
ADI-15891,KU602391,KU602392
ADI-15892,KU602393,KU602394
ADI-15893,KU602395,KU602396
ADI-15894,KU602397,KU602398
ADI-15895,KU602399,KU602400
ADI-15896,KU602401,KU602402
ADI-15897,KU602403,KU602404
ADI-15898,KU602405,KU602406
ADI-15899,KU602407,KU602408
ADI-15900,KU602409,KU602410
ADI-15901,KU602411,KU602412
ADI-15902,KU602413,KU602414
ADI-15903,KU602415,KU602416
ADI-15904,KU602417,KU602418
ADI-15906,KU602419,KU602420
ADI-15907,KU602421,KU602422
ADI-15908,KU602423,KU602424
ADI-15909,KU602425,KU602426
ADI-15910,KU602427,KU602428
ADI-15911,KU602429,KU602430
ADI-15912,KU602431,KU602432
ADI-15913,KU602433,KU602434
ADI-15914,KU602435,KU602436
ADI-15915,KU602437,KU602438
ADI-15916,KU602439,KU602440
ADI-15917,KU602441,KU602442
ADI-15918,KU602443,KU602444
ADI-15919,KU602445,KU602446
ADI-15920,KU602447,KU602448
ADI-15921,KU602449,KU602450
ADI-15922,KU602451,KU602452
ADI-15923,KU602453,KU602454
ADI-15924,KU602455,KU602456
ADI-15925,KU602457,KU602458
ADI-15926,KU602459,KU602460
ADI-15927,KU602461,KU602462
ADI-15928,KU602463,KU602464
ADI-15929,KU602465,KU602466
ADI-15930,KU602467,KU602468
ADI-15931,KU602469,KU602470
ADI-15932,KU602471,KU602472
ADI-15933,KU602473,KU602474
ADI-15934,KU602475,KU602476
ADI-15935,KU602477,KU602478
ADI-15936,KU602479,KU602480
ADI-15937,KU602481,KU602482
ADI-15938,KU602483,KU602484
ADI-15939,KU602485,KU602486
ADI-15940,KU602487,KU602488
ADI-15941,KU602489,KU602490
ADI-15942,KU602491,KU602492
ADI-15943,KU602493,KU602494
ADI-15944,KU602495,KU602496
ADI-15945,KU602497,KU602498
ADI-15946,KU602499,KU602500
ADI-15947,KU602501,KU602502
ADI-15948,KU602503,KU602504
ADI-15949,KU602505,KU602506
ADI-15950,KU602507,KU602508
ADI-15951,KU602509,KU602510
ADI-15952,KU602511,KU602512
ADI-15953,KU602513,KU602514
ADI-15954,KU602515,KU602516
ADI-15955,KU602517,KU602518
ADI-15956,KU602519,KU602520
ADI-15957,KU602521,KU602522
ADI-15958,KU602523,KU602524
ADI-15959,KU602525,KU602526
ADI-15960,KU602527,KU602528
ADI-15961,KU602529,KU602530
ADI-15962,KU602531,KU602532
ADI-15963,KU602533,KU602534
ADI-15964,KU602535,KU602536
ADI-15965,KU602537,KU602538
ADI-15966,KU602539,KU602540
ADI-15967,KU602541,KU602542
ADI-15968,KU602543,KU602544
ADI-15969,KU602545,KU602546
ADI-15970,KU602547,KU602548
ADI-15971,KU602549,KU602550
ADI-15972,KU602551,KU602552
ADI-15973,KU602553,KU602554
ADI-15974,KU602555,KU602556
ADI-15975,KU602557,KU602558
ADI-15976,KU602559,KU602560
ADI-15977,KU602561,KU602562
ADI-15978,KU602563,KU602564
ADI-15979,KU602565,KU602566
ADI-15980,KU602567,KU602568
ADI-15981,KU602569,KU602570
ADI-15982,KU602571,KU602572
ADI-15983,KU602573,KU602574
ADI-15984,KU602575,KU602576
ADI-15985,KU602577,KU602578
ADI-15986,KU602579,KU602580
ADI-15987,KU602581,KU602582
ADI-15988,KU602583,KU602584
ADI-15989,KU602585,KU602586
ADI-15990,KU602587,KU602588
ADI-15991,KU602589,KU602590
ADI-15992,KU602591,KU602592
ADI-15993,KU602593,KU602594
ADI-15994,KU602595,KU602596
ADI-15995,KU602597,KU602598
ADI-15996,KU602599,KU602600
ADI-15997,KU602601,KU602602
ADI-15998,KU602603,KU602604
ADI-15999,KU602605,KU602606
ADI-16000,KU602607,KU602608
ADI-16001,KU602609,KU602610
ADI-16003,KU602611,KU602612
ADI-16005,KU602613,KU602614
ADI-16006,KU602615,KU602616
ADI-16007,KU602617,KU602618
ADI-16008,KU602619,KU602620
ADI-16009,KU602621,KU602622
ADI-16010,KU602623,KU602624
ADI-16011,KU602625,KU602626
ADI-16012,KU602627,KU602628
ADI-16013,KU602629,KU602630
ADI-16015,KU602631,KU602632
ADI-16016,KU602633,KU602634
ADI-16017,KU602635,KU602636
ADI-16018,KU602637,KU602638
ADI-16019,KU602639,KU602640
ADI-16020,KU602641,KU602642
ADI-16021,KU602643,KU602644
ADI-16022,KU602645,KU602646
ADI-16024,KU602647,KU602648
ADI-16025,KU602649,KU602650
ADI-16026,KU602651,KU602652
ADI-16027,KU602653,KU602654
ADI-16028,KU602655,KU602656
ADI-16029,KU602657,KU602658
ADI-16030,KU602659,KU602660
ADI-16031,KU602661,KU602662
ADI-16032,KU602663,KU602664
ADI-16033,KU602665,KU602666
ADI-16034,KU602667,KU602668
ADI-16035,KU602669,KU602670
ADI-16036,KU602671,KU602672
ADI-16037,KU602673,KU602674
ADI-16038,KU602675,KU602676
ADI-16039,KU602677,KU602678
ADI-16040,KU602679,KU602680
ADI-16041,KU602681,KU602682
ADI-16042,KU602683,KU602684
ADI-16043,KU602685,KU602686
ADI-16044,KU602687,KU602688
ADI-16045,KU602689,KU602690
ADI-16046,KU602691,KU602692
ADI-16047,KU602693,KU602694
ADI-16048,KU602695,KU602696
ADI-16049,KU602697,KU602698
ADI-16050,KU602699,KU602700
ADI-16051,KU602701,KU602702
ADI-16052,KU602703,KU602704
ADI-16053,KU602705,KU602706
ADI-16054,KU602707,KU602708
ADI-16055,KU602709,KU602710
ADI-16056,KU602711,KU602712
ADI-16058,KU602713,KU602714
ADI-16059,KU602715,KU602716
ADI-16060,KU602717,KU602718
ADI-16061,KU602719,KU602720
ADI-16062,KU602721,KU602722
ADI-16063,KU602723,KU602724
